Original Title,Cited Articles
Quantum concepts in optical polarization,Lindblad dynamics and disentanglement in multi-mode bosonic systems
Quantum concepts in optical polarization,Definition of a second-order degree of polarization in terms of the complex degree of coherence
Quantum concepts in optical polarization,Superresolution of two unbalanced point sources assisted by the entangled partner
Quantum concepts in optical polarization,Open dynamics of entanglement in mesoscopic bosonic systems
Quantum concepts in optical polarization,Direct measurement of higher-order nonlinear polarization squeezing
Quantum concepts in optical polarization,Robust quantum metrology with random Majorana constellations
Quantum concepts in optical polarization,Structured Light from Classical to Quantum Perspectives
Quantum concepts in optical polarization,Orthogonal HL states and extrema method for the polarization evaluation
Quantum concepts in optical polarization,Structured Light Modal Interface via Liquid-Crystal Planar Optics
Quantum concepts in optical polarization,Speed of Evolution and Correlations in Multi-Mode Bosonic Systems
Quantum concepts in optical polarization,"Lindblad dynamics of open multi-mode bosonic systems: Algebra of bilinear superoperators, spectral problem, exceptional points and speed of evolution"
Quantum concepts in optical polarization,Stellar representation of extremal Wigner-negative spin states
Quantum concepts in optical polarization,From polarization multipoles to higher-order coherences
Quantum concepts in optical polarization,Conversion of a basis-dependent superposition of orbital-angular-momentum states using a plate
Quantum concepts in optical polarization,Squeezing of spin-1 quantum states via a one-axis twisting Hamiltonian
Quantum concepts in optical polarization,Utilizing a Cornu depolarizer in the generation of spatially unpolarized light
Quantum concepts in optical polarization,Random Majorana constellations
Quantum concepts in optical polarization,Majorana constellations for scalar beams and light fields
Quantum concepts in optical polarization,Quantum circuit complexity for linearly polarised light
Quantum concepts in optical polarization,Quantum polarization characteristic function and cumulant analysis of Stokes parameters
Quantum concepts in optical polarization,Tailoring spatially unpolarized light on the Poincaré sphere: From equator states via meridian states to generalized great-circle states
Quantum concepts in optical polarization,Stokes parameters alone cannot completely characterize the polarization of plane light waves
Quantum concepts in optical polarization,Atmospheric turbulence does not change the degree of polarization of vector beams
Quantum concepts in optical polarization,Robust quantum metrology with random Majorana constellations
Quantum concepts in optical polarization,Quantum limits to polarization measurement of classical light
Quantum concepts in optical polarization,Disquisitions on quantum-enhanced polarimetry
Quantum concepts in optical polarization,Generation of Kerr squeezed light and its application to interferometry
Quantum concepts in optical polarization,"Structured Light from Classical to Quantum Perspectives. Symmetry 2024, 16, 1053"
Quantum concepts in optical polarization,Quantum uncertainty in double-slit vector-light interference
Quantum concepts in optical polarization,Wigner negativity on the sphere
Quantum concepts in optical polarization,On the mathematical description of combined PMD PDL effects in optical communications and how their induced impairments can be minimized
Quantum concepts in optical polarization,Explorations in Optical Spatial Coherence
Quantum concepts in optical polarization,Unification of nonclassical signatures under the concept of quantum coherence
Quantum concepts in optical polarization,Polarization of Light
Quantum concepts in optical polarization,Generation of spatially unpolarized light by a Cornu depolarizer: equator polarization states as type II unpolarized light
Quantum concepts in optical polarization,Correlations of Stokes parameters under parametric scattering in a lossy crystal and ghost imaging based on them
Quantum concepts in optical polarization,Estimation of von Neumann entropy of different light sources using array detectors
Quantum concepts in optical polarization,QUANTUM COMPLEMENTARITY IN VECTOR LIGHT INTERFERENCE
Quantum concepts in optical polarization,On the mathematical description of polarization effects in optical communications and how their induced impairments can be minimized
Quantum concepts in optical polarization,The degree of unpolarization (DoUP): A single metric for all possible unpolarized beams
Quantum concepts in optical polarization,Non-classicality of bosonic fields in states of undefined particle numbers
Quantum concepts in optical polarization,On the correct mathematical description of polarization dependent impairments in Optical Communications
Quantum concepts in optical polarization,ИССЛЕДОВАНИЕ ДИНАМИКИ ПАРАМЕТРОВ СТОКСА С УЧЕТОМ МЕЖМОДОВОГО ВЗАИМОДЕЙСТВИЯ
Quantum concepts in optical polarization,Quantum Ghost Polarimetry Applied to Samples With Polarization Anisotropy
Quantum concepts in optical polarization,Modal interface for structured light via liquid-crystal planar optics
The sphere packing problem in dimension 8,Hyperuniform states of matter
The sphere packing problem in dimension 8,Discrete energy on rectifiable sets
The sphere packing problem in dimension 8,The sphere packing problem in dimension
The sphere packing problem in dimension 8,Algebraic combinatorics
The sphere packing problem in dimension 8,On the principles of parsimony and self-consistency for the emergence of intelligence
The sphere packing problem in dimension 8,Snowmass White Paper: The Analytic Conformal Bootstrap
The sphere packing problem in dimension 8,Quantum capacity bounds of Gaussian thermal loss channels and achievable rates with Gottesman-Kitaev-Preskill codes
The sphere packing problem in dimension 8,Lectures on Coulomb and Riesz gases
The sphere packing problem in dimension 8,The Golden ratio in nature: a tour across length scales
The sphere packing problem in dimension 8,The analytic functional bootstrap. Part II. Natural bases for the crossing equation
The sphere packing problem in dimension 8,Sphere packing and quantum gravity
The sphere packing problem in dimension 8,Theory of simple glasses: exact solutions in infinite dimensions
The sphere packing problem in dimension 8,Mordell–Weil lattices
The sphere packing problem in dimension 8,Perspective: Basic understanding of condensed phases of matter via packing models
The sphere packing problem in dimension 8,A basis of analytic functionals for CFTs in general dimension
The sphere packing problem in dimension 8,Universal optimality of the and Leech lattices and interpolation formulas
The sphere packing problem in dimension 8,Lectures on modular forms and strings
The sphere packing problem in dimension 8,"Quantum stabilizer codes, lattices, and CFTs"
The sphere packing problem in dimension 8,Is the volume of a credal set a good measure for epistemic uncertainty?
The sphere packing problem in dimension 8,Bootstrapping boundaries and branes
The sphere packing problem in dimension 8,Encoding qubits in multimode grid states
The sphere packing problem in dimension 8,QBism: Quantum theory as a hero's handbook
The sphere packing problem in dimension 8,Minimax and maximin space-filling designs: some properties and methods for construction
The sphere packing problem in dimension 8,NVTC: Nonlinear vector transform coding
The sphere packing problem in dimension 8,High-dimensional sphere packing and the modular bootstrap
The sphere packing problem in dimension 8,100 open problems
The sphere packing problem in dimension 8,Systems of points with Coulomb interactions
The sphere packing problem in dimension 8,Structure Optimization of e‐Commerce Platform Based on Artificial Intelligence and Blockchain Technology
The sphere packing problem in dimension 8,Averaging over codes and an SU (2) modular bootstrap
The sphere packing problem in dimension 8,Optimized packing multidimensional hyperspheres: a unified approach
The sphere packing problem in dimension 8,A crossing-symmetric OPE inversion formula
The sphere packing problem in dimension 8,Compressing large language models using low rank and low precision decomposition
The sphere packing problem in dimension 8,The Erdos discrepancy problem
The sphere packing problem in dimension 8,Automorphic spectra and the conformal bootstrap
The sphere packing problem in dimension 8,A conceptual breakthrough in sphere packing
The sphere packing problem in dimension 8,Framework for -Completeness of Two-Dimensional Packing Problems
The sphere packing problem in dimension 8,Better lattice quantizers constructed from complex integers
The sphere packing problem in dimension 8,"Symplectic embedding problems, old and new"
The sphere packing problem in dimension 8,Upper bounds for s-distance sets and equiangular lines
The sphere packing problem in dimension 8,Fourier interpolation on the real line
The sphere packing problem in dimension 8,Three-point bounds for sphere packing
The sphere packing problem in dimension 8,Crystallization for Coulomb and Riesz interactions as a consequence of the Cohn-Kumar conjecture
The sphere packing problem in dimension 8,Fourier optimization and prime gaps
The sphere packing problem in dimension 8,Solving clustered low-rank semidefinite programs arising from polynomial optimization
The sphere packing problem in dimension 8,Performance of random template banks
The sphere packing problem in dimension 8,2 Packing and Covering
The sphere packing problem in dimension 8,An optimal uncertainty principle in twelve dimensions via modular forms
The sphere packing problem in dimension 8,The Voronoi Region of the Barnes–Wall Lattice Λ 16
The sphere packing problem in dimension 8,Tessellating the latent space for non-adversarial generative auto-encoders
The sphere packing problem in dimension 8,An efficient solution space exploring and descent method for packing equal spheres in a sphere
The sphere packing problem in dimension 8,Globally convergent path-aware optimization with mobile robots
The sphere packing problem in dimension 8,Compact and efficient KEMs over NTRU lattices
The sphere packing problem in dimension 8,Microscopic description of Log and Coulomb gases
The sphere packing problem in dimension 8,Optimal disk packing of chloroplasts in plant cells
The sphere packing problem in dimension 8,Lattice-Based Cryptography: A Survey
The sphere packing problem in dimension 8,50 years of the Golomb–Welch conjecture
The sphere packing problem in dimension 8,A variational principle for Gaussian lattice sums
The sphere packing problem in dimension 8,The work of Maryna Viazovska
The sphere packing problem in dimension 8,The hard-core model in graph theory
The sphere packing problem in dimension 8,Compact packings of the plane with three sizes of discs
The sphere packing problem in dimension 8,Perturbed lattice crosses and Heisenberg uniqueness pairs
The sphere packing problem in dimension 8,Multispectral filter array design by optimal sphere packing
The sphere packing problem in dimension 8,Packing spheres in high dimensions with moderate computational effort
The sphere packing problem in dimension 8,A new lower bound for sphere packing
The sphere packing problem in dimension 8,Estimates of the asymptotic Nikolskii constants for spherical polynomials
The sphere packing problem in dimension 8,Multidimensional unlimited sampling: A geometrical perspective
The sphere packing problem in dimension 8,"𝐸₈, the most exceptional group"
The sphere packing problem in dimension 8,Three simple scenarios for high-dimensional sphere packings
The sphere packing problem in dimension 8,Generalized transport inequalities and concentration bounds for Riesz-type gases
The sphere packing problem in dimension 8,Varieties of mathematical understanding
The sphere packing problem in dimension 8,Optimality of spherical codes via exact semidefinite programming bounds
The sphere packing problem in dimension 8,Crystallization to the square lattice for a two-body potential
The sphere packing problem in dimension 8,On the hard sphere model and sphere packings in high dimensions
The sphere packing problem in dimension 8,Fourier interpolation from spheres
The sphere packing problem in dimension 8,"Fourier optimization, the least quadratic non-residue, and the least prime in an arithmetic progression"
The sphere packing problem in dimension 8,Universal minima of discrete potentials for sharp spherical codes
The sphere packing problem in dimension 8,Quantum theory as symmetry broken by vitality
The sphere packing problem in dimension 8,The magic of 8 and 24
The sphere packing problem in dimension 8,Approximation schemes under resource augmentation for knapsack and packing problems of hyperspheres and other shapes
The sphere packing problem in dimension 8,Sporadic SICs and the normed division algebras
The sphere packing problem in dimension 8,Euclidean-distance based fuzzy commitment scheme for biometric template security
The sphere packing problem in dimension 8,Recurrent neural network model of density relaxation in monodisperse granular systems
The sphere packing problem in dimension 8,High-fugacity expansion and crystallization in non-sliding hard-core lattice particle models without a tiling constraint
The sphere packing problem in dimension 8,Optimal and non-optimal lattices for non-completely monotone interaction potentials
The sphere packing problem in dimension 8,New upper bounds for the density of translative packings of three-dimensional convex bodies with tetrahedral symmetry
The sphere packing problem in dimension 8,On packing of Minkowski balls. I
The sphere packing problem in dimension 8,On symmetry adapted bases in trigonometric optimization
The sphere packing problem in dimension 8,Multiple packing: Lower bounds via error exponents
The sphere packing problem in dimension 8,The Lasserre hierarchy for equiangular lines with a fixed angle
The sphere packing problem in dimension 8,Uncertainty principles for eventually constant sign bandlimited functions
The sphere packing problem in dimension 8,Optimality and uniqueness of the D_4 root system
The sphere packing problem in dimension 8,Thermodynamic stability of hard sphere crystals in dimensions 3 through 10
The sphere packing problem in dimension 8,Sphere packing bounds via rescaling
The sphere packing problem in dimension 8,Ordered and disordered stealthy hyperuniform point patterns across spatial dimensions
The sphere packing problem in dimension 8,New lower bound on ball packing density in high-dimensional hyperbolic spaces
The sphere packing problem in dimension 8,On Minima of Sum of Theta Functions and Application to Mueller–Ho Conjecture
The sphere packing problem in dimension 8,"The Klein-Gordon equation, the Hilbert transform and Gauss-type maps: H ∞ approximation"
The sphere packing problem in dimension 8,Prony's method under an almost sharp multivariate Ingham inequality
The sphere packing problem in dimension 8,On regularity and mass concentration phenomena for the sign uncertainty principle
The sphere packing problem in dimension 8,Complete positivity and distance-avoiding sets
Discrete energy on rectifiable sets,Point cloud generation for meshfree methods: An overview
Discrete energy on rectifiable sets,Coulomb and Riesz gases: The known and the unknown
Discrete energy on rectifiable sets,Understanding contrastive representation learning through alignment and uniformity on the hypersphere
Discrete energy on rectifiable sets,Dissecting supervised contrastive learning
Discrete energy on rectifiable sets,Perfectly balanced: Improving transfer and robustness of supervised contrastive learning
Discrete energy on rectifiable sets,Virchow2: Scaling self-supervised mixed magnification models in pathology
Discrete energy on rectifiable sets,Combating representation learning disparity with geometric harmonization
Discrete energy on rectifiable sets,Lectures on Coulomb and Riesz gases
Discrete energy on rectifiable sets,Poodle: Improving few-shot learning via penalizing out-of-distribution samples
Discrete energy on rectifiable sets,Interventional contrastive learning with meta semantic regularizer
Discrete energy on rectifiable sets,Concise encyclopedia of coding theory
Discrete energy on rectifiable sets,Sharp uniform-in-time mean-field convergence for singular periodic Riesz flows
Discrete energy on rectifiable sets,Mitigating Recommendation Biases via Group-Alignment and Global-Uniformity in Representation Learning
Discrete energy on rectifiable sets,Mean-field limits of Riesz-type singular flows
Discrete energy on rectifiable sets,Learning with hyperspherical uniformity
Discrete energy on rectifiable sets,Target-aware molecular graph generation
Discrete energy on rectifiable sets,Generalizing and decoupling neural collapse via hyperspherical uniformity gap
Discrete energy on rectifiable sets,Novelty search in representational space for sample efficient exploration
Discrete energy on rectifiable sets,-MICL: Understanding and Generalizing InfoNCE-based Contrastive Learning
Discrete energy on rectifiable sets,Integrating prior knowledge in contrastive learning with kernel
Discrete energy on rectifiable sets,Wasserstein steepest descent flows of discrepancies with Riesz kernels
Discrete energy on rectifiable sets,Riesz and Green energy on projective spaces
Discrete energy on rectifiable sets,Threshold condensation to singular support for a Riesz equilibrium problem
Discrete energy on rectifiable sets,Stable and Causal Inference for Discriminative Self-supervised Deep Visual Representations
Discrete energy on rectifiable sets,Continued fractions and the Thomson problem
Discrete energy on rectifiable sets,Unsupervised representation learning for speaker recognition via contrastive equilibrium learning
Discrete energy on rectifiable sets,Sharp commutator estimates of all order for Coulomb and Riesz modulated energies
Discrete energy on rectifiable sets,"The attractive log gas: stability, uniqueness, and propagation of chaos"
Discrete energy on rectifiable sets,Crystallization for Coulomb and Riesz interactions as a consequence of the Cohn-Kumar conjecture
Discrete energy on rectifiable sets,Hyperspherical Classification with Dynamic Label-to-Prototype Assignment
Discrete energy on rectifiable sets,Self-distilled self-supervised representation learning
Discrete energy on rectifiable sets,Minimum Riesz energy problems with external fields
Discrete energy on rectifiable sets,Decay of correlations and thermodynamic limit for the circular Riesz gas
Discrete energy on rectifiable sets,On polarization of spherical codes and designs
Discrete energy on rectifiable sets,Computation of power law equilibrium measures on balls of arbitrary dimension
Discrete energy on rectifiable sets,Rectifiability: a survey
Discrete energy on rectifiable sets,Riesz Energy with a Radial External Field: When is the Equilibrium Support a Sphere?
Discrete energy on rectifiable sets,The planar low temperature Coulomb gas: separation and equidistribution
Discrete energy on rectifiable sets,Minimum energy problems with external fields on locally compact spaces
Discrete energy on rectifiable sets,A Wasserstein inequality and minimal Green energy on compact manifolds
Discrete energy on rectifiable sets,Min-max polarization for certain classes of sharp configurations on the sphere
Discrete energy on rectifiable sets,Improving exploration strategies in large dimensions and rate of convergence of global random search algorithms
Discrete energy on rectifiable sets,Thomson problem in the disk
Discrete energy on rectifiable sets,The spherical ensemble and quasi-Monte-Carlo designs
Discrete energy on rectifiable sets,Rectifiability; a survey
Discrete energy on rectifiable sets,"Riesz energy, L 2 L^2 discrepancy, and optimal transport of determinantal point processes on the sphere and the flat torus"
Discrete energy on rectifiable sets,Riesz energy problems with external fields and related theory
